Qty,Value,Parts,MFG,MPN,PN-DK,Description
1,BME680,TPH,Bosch Sensortec,BME680,828-1077-1-ND,"SENSOR Gas, Humidity, Pressure, Temperature Sensor, I²C, SPI Output"
1,CAM-M8,GPS,U-Blox America Inc.,CAM-M8Q-0,672-1013-1-ND,"IC RECEIVER GPS CHIP ANT 31LCC RF Receiver BeiDou, GLONASS, GNSS, GPS 1.575GHz -167dBm On-Board, Chip Module"
1,ESP-12,WIFI,Adafruit Industries LLC,2491,1528-1438-ND,ESP8266 SMT MODULE
1,MPU9250,MPU,TDK InvenSense,MPU-9250,1428-1019-1-ND,IMU ACCEL/GYRO/MAG I2C/SPI 24QFN
1,600,FB1,Laird-Signal Integrity Products,HZ0603A252R-10,240-2561-1-ND,FERRITE BEAD 2.5 KOHM 0603 1LN
2,10n,"C2, C4",KEMET,C0603C103K5RACTU,399-1091-1-ND,CAP CER 10000PF 50V X7R 0603
9,100n,"C1, C3, C5, C6, C7, C12, C13, C14, C16",KEMET,C0603X104K5RAC7867,399-7969-1-ND,CAP CER 0.1UF 50V X7R 0603
2,1u,"C9, C11",Taiyo Yuden,UMK107AB7105KA-T,587-3247-1-ND,CAP CER 1UF 50V X7R 0603
3,10u,"C8, C10, C15",Murata Electronics North America,GRM21BR61E106KA73L,490-5523-1-ND,CAP CER 10UF 25V X5R 0805
7,220,"R6, R7, R8, R9, R10, R11, R12",Yageo,RC0603FR-07220RL,311-220HRCT-ND,RES SMD 220 OHM 1% 1/10W 0603
5,10k,"R1, R2, R3, R4, R5",Yageo,RC0603FR-0710KL,311-10.0KHRCT-ND,RES SMD 10K OHM 1% 1/10W 0603
2,1X10,"J4, J5",Harwin Inc.,M22-2511005,952-1316-ND,CONN HEADER 2MM VERT AU 10POS
